[2025-10-03 08:30:26] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.000 ms | Packet Loss: 1 | Total Packet: 1
[2025-10-03 08:36:57] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 2
[2025-10-03 08:39:53] Process: UPLOAD_TEMPLATE | Latency: 0.026 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.013 ms | Packet Loss: 1 | Total Packet: 3
[2025-10-03 08:42:50] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.013 ms | Packet Loss: 1 | Total Packet: 4
[2025-10-03 08:53:29] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 5
[2025-10-03 08:54:31] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 6
[2025-10-03 09:59:58] Process: UPLOAD_TEMPLATE | Latency: 0.041 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.028 ms | Packet Loss: 1 | Total Packet: 7
[2025-10-03 10:04:40] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.028 ms | Packet Loss: 1 | Total Packet: 8
[2025-10-03 10:09:00] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 9
[2025-10-03 10:10:28] Process: UPLOAD_TEMPLATE | Latency: 0.011 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 10
[2025-10-03 10:11:28] Process: UPLOAD_TEMPLATE | Latency: 0.014 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 11
[2025-10-03 10:11:28] Process: UPLOAD_TEMPLATE | Latency: 0.012 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 12
[2025-10-03 10:11:29] Process: UPLOAD_TEMPLATE | Latency: 0.005 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.007 ms | Packet Loss: 1 | Total Packet: 13
[2025-10-03 10:11:29] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.005 ms | Packet Loss: 1 | Total Packet: 14
[2025-10-03 10:11:30] Process: UPLOAD_TEMPLATE | Latency: 0.013 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.003 ms | Packet Loss: 1 | Total Packet: 15
[2025-10-03 10:11:30] Process: UPLOAD_TEMPLATE | Latency: 0.031 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.018 ms | Packet Loss: 1 | Total Packet: 16
[2025-10-03 10:11:31] Process: UPLOAD_TEMPLATE | Latency: 0.009 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.022 ms | Packet Loss: 1 | Total Packet: 17
[2025-10-03 10:11:31] Process: UPLOAD_TEMPLATE | Latency: 0.010 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.001 ms | Packet Loss: 1 | Total Packet: 18
[2025-10-03 10:11:33] Process: UPLOAD_TEMPLATE | Latency: 0.008 ms | Size: 0 bytes | Throughput: 0.000 KB/s | Jitter: 0.002 ms | Packet Loss: 1 | Total Packet: 19
